text,label
Start a short course of first-line oral antibiotic therapy per local antibiogram and uncomplicated-UTI treatment guidance.,Plan
"Symptomatic management with fluids and rest; antibiotics are not indicated given absence of bacterial features, consistent with URI antibiotic-stewardship guidance.",Plan
Acute uncomplicated viral upper respiratory infection.,Assessment
"Weight is 187 lbs, BMI 26.9.",Objective
"Continue lifestyle modification (sodium restriction, exercise) and switch to an alternative agent, per first-line antihypertensive guidance for stage 2 hypertension.",Plan
"Start a trial of once-daily proton pump inhibitor and recommend lifestyle modification (weight management, avoiding late meals), per GERD management guidance.",Plan
Affect is mildly anxious but appropriate.,Objective
Respiratory rate is 22 breaths per minute.,Objective
Start a short course of first-line oral antibiotic therapy per local antibiogram and uncomplicated-UTI treatment guidance.,Plan
"Weight is 153 lbs, unchanged from last visit.",Objective
Do you have any other concerns before you go?,Other
"Cardiovascular exam reveals regular rate and rhythm, no murmurs.",Objective
Uncomplicated acute cystitis.,Assessment
"switch to an alternative agent, reinforce dietary counseling, and recheck A1c in 3 months, consistent with ADA glycemic-target guidance.",Plan
"Generalized anxiety disorder, well controlled.",Assessment
"No chest pain, but I do feel tired more than usual.",Subjective
"Temperature is 100.4 F, oxygen saturation 96% on room air.",Objective
"Generalized anxiety disorder, moderately controlled.",Assessment
"Symptomatic management with fluids and rest; antibiotics are not indicated given absence of bacterial features, consistent with URI antibiotic-stewardship guidance.",Plan
Affect is mildly anxious but appropriate.,Objective
Oxygen saturation is 99% on room air.,Objective
Hemoglobin A1c is 7.2%.,Objective
I missed a few doses of my metformin this month.,Subjective
Affect is mildly anxious but appropriate.,Objective
"Symptomatic management with fluids and rest; antibiotics are not indicated given absence of bacterial features, consistent with URI antibiotic-stewardship guidance.",Plan
"Blood pressure today is 167/85 mmHg, heart rate 91 bpm.",Objective
Fasting glucose today is 141 mg/dL.,Objective
"Foot exam shows intact sensation bilaterally, no ulcers.",Objective
"Weight is 180 lbs, stable.",Objective
"Weight is 229 lbs, unchanged from last visit.",Objective
